Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
,2016,2017,2018
ACEH,410956,435454,464626
Simeulue,326563,350622,368068
Aceh Singkil,368968,406015,427804
Aceh Selatan,304466,332177,351288
Aceh Tenggara,221799,250854,340196
Aceh Timur,350186,369911,398493
Aceh Tengah,397859,427170,445250
Aceh Barat,441909,446614,447089
Aceh Besar,384545,398752,422051
Pidie,393370,408150,435873
Bireuen,317562,335314,358399
Aceh Utara,301733,318729,340086
Aceh Barat Daya,306930,329543,340903
Gayo Lues,301546,323482,368583
Aceh Tamiang,368691,389459,420841
Nagan Raya,374236,400811,426827
Aceh Jaya,331940,356060,373690
Bener Meriah,363796,383289,413208
Pidie Jaya,399377,429966,448201
Kota Banda Aceh,541732,572295,607391
Kota Sabang,492787,523705,552272
Kota Langsa,323246,347056,371267
Kota Lhokseumawe,319988,343558,367525
Kota Subulussalam,250408,273370,315453
SUMATERA UTARA,388156,411345,435970
Nias,330111,346374,353141
Mandailing Natal,304669,319777,336820
Tapanuli Selatan,326321,340065,343407
Tapanuli Tengah,353753,367687,369471
Tapanuli Utara,325606,344644,357464
Toba Samosir,326501,345591,352860
Labuhan Batu,333144,352622,368357
Asahan,292030,305868,315420
Simalungun,315947,331860,342477
Dairi,293666,310836,325176
Karo,400261,423663,437702
Deli Serdang,347030,363371,381173
Langkat,348205,364517,382536
Nias Selatan,238119,249225,261104
Humbang Hasundutan,301663,313545,329189
Pakpak Bharat,248835,256781,283258
Samosir,271619,287857,299640
Serdang Bedagai,336478,350892,361623
Batu Bara,347533,363741,381651
Padang Lawas Utara,278290,291036,321076
Padang Lawas,268922,281464,310569
Labuhan Batu Selatan,330874,346305,355517
Labuhan Batu Utara,361017,378024,395696
Nias Utara,370371,381696,383552
Nias Barat,352570,361397,386431
Kota Sibolga,391681,413454,415478
Kota Tanjung Balai,345900,374442,397647
Kota Pematang Siantar,429365,464794,474084
Kota Tebing Tinggi,383650,415307,426469
Kota Medan,460685,491496,518420
Kota Binjai,343078,371387,380792
Kota Padangsidimpuan,326579,348074,363468
Kota Gunungsitoli,304727,318585,327303
SUMATERA BARAT,425141,453612,476554
Kepulauan Mentawai,263793,280695,294284
Pesisir Selatan,366228,390955,409882
Solok,376748,400887,408570
