Nama Wilayah,,,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan),,
,2004,2005,2006
ACEH,129615,172084,198858
Simeulue,122606,176719,201689
Aceh Singkil,138438,168566,191539
Aceh Selatan,128779,171815,186227
Aceh Tenggara,114925,145487,151263
Aceh Timur,120719,193533,210094
Aceh Tengah,142361,211997,232783
Aceh Barat,125885,220636,265514
Aceh Besar,139607,249760,259910
Pidie,131852,207844,232598
Bireuen,132510,166442,186844
Aceh Utara,136900,163997,177098
Aceh Barat Daya,135867,146135,176979
Gayo Lues,147954,194955,201566
Aceh Tamiang,130724,180413,196461
Nagan Raya,144211,203085,235306
Aceh Jaya,138509,182677,200165
Bener Meriah,-,207244,233786
Pidie Jaya,-,-,-
Kota Banda Aceh,165391,267005,317435
Kota Sabang,144866,192032,256447
Kota Langsa,136093,132284,157377
Kota Lhokseumawe,146927,149664,166202
Kota Subulussalam,-,-,-
SUMATERA UTARA,122615,143095,162677
Nias,108535,109121,137389
Mandailing Natal,132958,141204,155222
Tapanuli Selatan,132536,147576,161900
Tapanuli Tengah,118788,154589,168478
Tapanuli Utara,128192,144748,158044
Toba Samosir,143766,154155,174428
Labuhan Batu,142577,161034,174094
Asahan,136855,143773,153669
Simalungun,116755,151151,161518
Dairi,123488,143862,149554
Karo,156389,202879,214589
Deli Serdang,121357,147921,155671
Langkat,142459,157794,173890
Nias Selatan,213289,101722,116885
Humbang Hasundutan,125387,131139,148718
Pakpak Bharat,121226,109475,118587
Samosir,-,126207,140149
Serdang Bedagai,-,144479,156990
Batu Bara,-,-,-
Padang Lawas Utara,-,-,-
Padang Lawas,-,-,-
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,135628,155136,171483
Kota Tanjung Balai,149762,159825,170373
Kota Pematang Siantar,143579,163444,183419
Kota Tebing Tinggi,137514,162969,177933
Kota Medan,156051,186031,197437
Kota Binjai,156659,163375,168935
Kota Padangsidimpuan,134895,150810,173308
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,144704,140962,154218
Kepulauan Mentawai,83953,94550,97769
Pesisir Selatan,116109,126344,134973
Solok,119862,147853,152491
Sijunjung,120661,138525,151200
Tanah Datar,122405,133488,143101
Padang Pariaman,129419,134865,150858
Agam,128059,131255,139369
Lima Puluh Kota,128786,153436,156890
Pasaman,126990,116677,132586
Solok Selatan,-,119970,135239
Dharmasraya,-,163818,167743
Pasaman Barat,-,140891,153445
Kota Padang,205816,157028,170557
Kota Solok,104483,128528,142400
Kota Sawah Lunto,-,99074,112105
Kota Padang Panjang,151571,139871,152553
Kota Bukittinggi,148105,152135,172506
Kota Payakumbuh,163294,151424,161934
Kota Pariaman,116872,155284,167391
RIAU,179589,167620,185063
Kuantan Singingi,170319,194569,203695
Indragiri Hulu,170832,181819,189349
Indragiri Hilir,158414,143086,159988
Pelalawan,193881,210560,230623
Siak,150138,175158,186800
Kampar,144859,171151,189302
Rokan Hulu,209721,190944,214709
Bengkalis,155860,141091,158220
Rokan Hilir,149022,139235,149237
Kepulauan Meranti,-,-,-
Kota Pekanbaru,227300,175116,183900
Kota Dumai,146316,187902,201066
JAMBI,129805,141157,154911
Kerinci,129948,130584,143563
Merangin,123390,153487,165689
Sarolangun,137564,167302,190913
Batang Hari,153162,157685,166481
Muaro Jambi,146334,112605,133046
Tanjung Jabung Timur,126428,133573,144745
Tanjung Jabung Barat,134326,137807,147664
Tebo,116371,149591,164075
Bungo,113743,118488,135530
Kota Jambi,126008,139472,149004
Kota Sungai Penuh,-,-,-
SUMATERA SELATAN,124353,138444,160607
Ogan Komering Ulu,115277,131969,152548
Ogan Komering Ilir,126043,130382,148949
Muara Enim,126857,148238,167525
Lahat,117331,142743,164624
Musi Rawas,128205,150947,181992
Musi Banyuasin,120243,156742,188164
Banyu Asin,107295,133069,154398
Ogan Komering Ulu Selatan,-,113654,134521
Ogan Komering Ulu Timur,-,119651,143400
Ogan Ilir,-,140912,172179
Empat Lawang,-,-,-
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,146920,147221,169975
Kota Prabumulih,116839,134202,157754
Kota Pagar Alam,99303,120466,130053
Kota Lubuklinggau,118017,163379,174863
BENGKULU,115569,128541,160641
