Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
,2013,2014,2015
ACEH,3.2,3.14,3.1
Simeulue,3.46,2.68,2.97
Aceh Singkil,2.77,2.65,5.29
Aceh Selatan,2.09,1.85,1.94
Aceh Tenggara,1.78,2.32,2.71
Aceh Timur,2.92,2.89,2.33
Aceh Tengah,2.21,2.18,2.58
Aceh Barat,3.68,4.3,4.28
Aceh Besar,2.89,2.76,2.54
Pidie,2.99,3.4,4.28
Bireuen,2.8,2.21,2.11
Aceh Utara,2.65,3.08,3.14
Aceh Barat Daya,2.64,2.58,2.66
Gayo Lues,4.1,4.11,4.1
Aceh Tamiang,2.09,1.76,1.88
Nagan Raya,3.34,3.87,3.84
Aceh Jaya,3.04,2.47,2.37
Bener Meriah,3.34,3.47,3.29
Pidie Jaya,3.34,2.92,3.92
Kota Banda Aceh,1.41,1.03,1.64
Kota Sabang,4.06,3.4,2.97
Kota Langsa,1.89,1.85,2.06
Kota Lhokseumawe,2.05,1.86,2.3
Kota Subulussalam,2.39,2.99,3.43
SUMATERA UTARA,1.72,1.71,1.65
Nias,1.93,1.65,3.31
Mandailing Natal,1.61,1.32,1.41
Tapanuli Selatan,1.91,1.19,1.28
Tapanuli Tengah,2.58,1.89,2
Tapanuli Utara,1.44,1.33,1.61
Toba Samosir,1.56,1.25,1.12
Labuhan Batu,1.14,1.4,0.99
Asahan,1.83,1.75,1.6
Simalungun,1.47,1.23,1.22
Dairi,1.25,1.1,0.91
Karo,1.42,1.02,1.38
Deli Serdang,0.52,0.43,0.47
Langkat,1.49,1.22,1.7
Nias Selatan,1.94,2.43,2.67
Humbang Hasundutan,1.14,1.03,1.24
Pakpak Bharat,1.3,1.11,1.19
Samosir,1.14,1.84,1.48
Serdang Bedagai,1.22,1.03,1.25
Batu Bara,2.32,1.58,1.46
Padang Lawas Utara,1.62,1.26,1.23
Padang Lawas,1.33,1.23,0.91
Labuhan Batu Selatan,1.69,1.43,1.48
Labuhan Batu Utara,1.75,1.62,1.75
Nias Utara,5.43,4.54,5.84
Nias Barat,5.23,4.16,5.79
Kota Sibolga,1.71,1.55,2.41
Kota Tanjung Balai,2.63,1.8,2.23
Kota Pematang Siantar,1.79,1.43,1.39
Kota Tebing Tinggi,1.13,1.22,1.48
Kota Medan,1.52,1.33,1.21
Kota Binjai,0.88,0.72,0.81
Kota Padangsidimpuan,0.9,1.45,1.71
Kota Gunungsitoli,5.72,4.47,4.33
SUMATERA BARAT,1.27,0.75,0.98
Kepulauan Mentawai,2.04,2.21,2.83
Pesisir Selatan,0.88,0.76,0.84
Solok,1.37,1.05,1.12
Sijunjung,1.58,1.1,1.05
Tanah Datar,0.35,0.48,0.45
Padang Pariaman,1.19,1.11,1.06
Agam,0.98,0.77,0.89
Lima Puluh Kota,1.08,0.82,0.89
Pasaman,1.16,1.06,1.09
Solok Selatan,1.21,0.62,1.06
Dharmasraya,1.15,0.9,1.04
Pasaman Barat,0.74,0.63,1.33
Kota Padang,0.54,0.43,0.54
Kota Solok,0.49,0.57,0.49
Kota Sawah Lunto,0.32,0.23,0.18
Kota Padang Panjang,0.81,0.79,0.54
Kota Bukittinggi,0.93,0.95,0.93
Kota Payakumbuh,0.45,0.8,0.79
Kota Pariaman,0.48,0.75,0.58
RIAU,1.18,1.2,1.38
Kuantan Singingi,1.89,1.42,1.48
Indragiri Hulu,1,1.26,1.22
Indragiri Hilir,1.19,1.01,1.45
Pelalawan,2.16,2.11,2.38
Siak,0.69,0.62,0.64
Kampar,0.86,1.22,1.41
Rokan Hulu,1.42,1.23,1.54
Bengkalis,0.82,1.06,1.05
Rokan Hilir,1.14,0.85,1.18
Kepulauan Meranti,6.14,6.59,6.63
Kota Pekanbaru,0.37,0.29,0.36
Kota Dumai,0.76,0.38,0.59
JAMBI,1.12,1.12,1.42
Kerinci,1.16,1.1,1.3
Merangin,1.49,1.39,1.57
Sarolangun,1.63,1.08,1.08
Batang Hari,0.95,0.95,1.96
Muaro Jambi,0.5,0.44,0.61
Tanjung Jabung Timur,1.67,1.92,1.98
Tanjung Jabung Barat,1.94,1.82,2.15
Tebo,0.67,0.69,0.7
Bungo,0.68,0.58,0.64
Kota Jambi,1.23,0.98,1.36
Kota Sungai Penuh,0.38,0.39,0.53
SUMATERA SELATAN,2.49,2.41,2.46
Ogan Komering Ulu,2.02,1.78,1.92
Ogan Komering Ilir,2.34,2.4,3.11
Muara Enim,2.62,2.39,2.25
Lahat,2.82,2.62,2.81
Musi Rawas,2.2,2.29,2.06
Musi Banyuasin,3.1,2.83,2.64
Banyu Asin,2.16,1.99,2.52
Ogan Komering Ulu Selatan,1.57,1.95,1.67
Ogan Komering Ulu Timur,1.15,1.35,1.51
Ogan Ilir,1.71,2.16,2.76
Empat Lawang,1.76,1.75,1.8
Penukal Abab Lematang Ilir,-,-,2.24
Musi Rawas Utara,-,-,3.25
Kota Palembang,2.03,2.26,2.05
Kota Prabumulih,1.88,1.82,1.82
Kota Pagar Alam,1.02,1.33,1.59
