Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
,2004,2005,2006
ACEH,1.98,1.85,1.48
Simeulue,2.33,3.29,2.41
Aceh Singkil,2.04,1.33,1.47
Aceh Selatan,1.36,1.28,2.03
Aceh Tenggara,2.99,1.39,1.71
Aceh Timur,1.97,2.41,1.9
Aceh Tengah,1.25,2.04,1.29
Aceh Barat,2.69,2.9,2.12
Aceh Besar,0.59,2.03,1.86
Pidie,1.41,1.82,1.38
Bireuen,1.37,2.38,1.89
Aceh Utara,4.13,1.16,1.21
Aceh Barat Daya,1.35,2.4,1.54
Gayo Lues,4.05,1.99,1.19
Aceh Tamiang,1.52,1.77,1.01
Nagan Raya,2.64,3.79,2.4
Aceh Jaya,2.43,2.26,1.9
Bener Meriah,-,0.95,0.7
Pidie Jaya,-,-,-
Kota Banda Aceh,0.31,0.56,0.19
Kota Sabang,2.06,3.86,1.44
Kota Langsa,0.92,0.8,0.99
Kota Lhokseumawe,1.8,1.85,0.74
Kota Subulussalam,-,-,-
SUMATERA UTARA,0.59,0.6,0.69
Nias,1.54,4.22,1.97
Mandailing Natal,0.75,0.84,0.76
Tapanuli Selatan,0.54,0.47,0.71
Tapanuli Tengah,1.9,1.78,2.09
Tapanuli Utara,0.72,1.02,0.56
Toba Samosir,0.8,1.52,0.69
Labuhan Batu,0.35,0.94,0.43
Asahan,0.35,0.42,0.46
Simalungun,0.51,0.9,0.84
Dairi,1.24,1.04,0.75
Karo,1.45,0.75,0.54
Deli Serdang,0.2,0.14,0.33
Langkat,0.78,1.59,1.2
Nias Selatan,1.59,4.83,1.75
Humbang Hasundutan,0.78,0.89,0.51
Pakpak Bharat,1.33,1.68,0.73
Samosir,-,1.06,0.54
Serdang Bedagai,-,0.32,0.25
Batu Bara,-,-,-
Padang Lawas Utara,-,-,-
Padang Lawas,-,-,-
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,0.42,0.49,0.26
Kota Tanjung Balai,0.32,0.69,0.56
Kota Pematang Siantar,0.5,0.66,0.43
Kota Tebing Tinggi,0.23,0.55,0.32
Kota Medan,0.28,0.4,0.39
Kota Binjai,0.15,0.25,0.31
Kota Padangsidimpuan,0.66,0.46,0.49
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,0.37,0.52,0.56
Kepulauan Mentawai,0.43,1.18,0.56
Pesisir Selatan,0.35,0.41,0.38
Solok,0.71,0.72,0.75
Sijunjung,0.44,0.59,0.71
Tanah Datar,0.13,0.34,0.29
Padang Pariaman,0.72,1.06,0.75
Agam,0.36,0.67,0.74
Lima Puluh Kota,0.4,0.31,0.72
Pasaman,0.4,0.62,0.87
Solok Selatan,-,1.04,0.6
Dharmasraya,-,0.53,0.74
Pasaman Barat,-,0.39,0.45
Kota Padang,0.14,0.11,0.16
Kota Solok,0.11,0.15,0.22
Kota Sawah Lunto,-,0.43,0.11
Kota Padang Panjang,0.14,0.24,0.15
Kota Bukittinggi,0.07,0.49,0.21
Kota Payakumbuh,0.21,0.18,0.22
Kota Pariaman,0.45,0.55,0.26
RIAU,0.7,0.37,0.4
Kuantan Singingi,1.1,1.12,0.88
Indragiri Hulu,0.78,1.34,0.82
Indragiri Hilir,1.22,1.01,0.55
Pelalawan,1.14,1.68,0.99
Siak,0.38,0.48,0.2
Kampar,0.66,0.97,0.48
Rokan Hulu,1.63,1.26,1.62
Bengkalis,0.3,0.42,0.38
Rokan Hilir,0.34,1.09,0.52
Kepulauan Meranti,-,-,-
Kota Pekanbaru,0.11,0.1,0.06
Kota Dumai,0.31,0.23,0.32
JAMBI,0.53,0.44,0.53
Kerinci,0.41,0.48,0.38
Merangin,0.5,0.53,0.53
Sarolangun,1.28,0.94,0.85
Batang Hari,1.02,0.32,0.44
Muaro Jambi,0.17,0.4,0.29
Tanjung Jabung Timur,0.61,0.82,0.6
Tanjung Jabung Barat,0.6,0.7,0.53
Tebo,0.27,0.45,0.42
Bungo,0.68,0.4,0.15
Kota Jambi,0.29,0.15,0.12
Kota Sungai Penuh,-,-,-
SUMATERA SELATAN,1.09,1.11,0.92
Ogan Komering Ulu,0.86,1.38,0.64
Ogan Komering Ilir,1.54,1.24,1.6
Muara Enim,0.89,1.08,0.51
Lahat,1.73,2.6,1.16
Musi Rawas,1.34,2.16,1.67
Musi Banyuasin,1.23,1.45,1.88
Banyu Asin,1.02,0.68,0.79
Ogan Komering Ulu Selatan,-,0.64,0.94
Ogan Komering Ulu Timur,-,0.62,0.76
Ogan Ilir,-,1.14,1.34
Empat Lawang,-,-,-
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,0.35,0.49,0.4
Kota Prabumulih,0.5,0.68,0.28
Kota Pagar Alam,0.93,0.48,0.55
Kota Lubuklinggau,0.8,0.96,0.91
BENGKULU,0.98,1.14,1.12
Bengkulu Selatan,2.05,2.75,2.54
Rejang Lebong,0.61,0.64,0.59
Bengkulu Utara,0.57,1.22,1.34
Kaur,2.22,2.57,1.78
Seluma,1.98,2.36,2.03
Mukomuko,0.49,0.93,0.82
Lebong,-,0.66,0.31
Kepahiang,-,0.94,0.36
Bengkulu Tengah,-,-,-
Kota Bengkulu,0.52,0.48,0.53
LAMPUNG,1.12,1.19,1.3
Lampung Barat,0.64,1.26,1.28
Tanggamus,1.16,0.96,0.75
Lampung Selatan,1.8,1.7,1.93
Lampung Timur,1.94,1.18,1.62
Lampung Tengah,0.63,1.12,0.97
Lampung Utara,1.17,2.74,2.08
Way Kanan,1.27,1.19,1.49
Tulangbawang,0.74,0.9,0.56
Pesawaran,-,-,-
Pringsewu,-,-,-
Mesuji,-,-,-
Tulang Bawang Barat,-,-,-
Pesisir Barat,-,-,-
Kota Bandar Lampung,0.4,0.68,0.61
Kota Metro,0.19,0.55,0.7
KEP. BANGKA BELITUNG,0.31,0.4,0.39
