Nama Wilayah,,,
,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,,
,2010,2011,2012
ACEH,3.48,3.48,3.07
Simeulue,4.29,4.61,3.64
Aceh Singkil,2.91,3.14,1.9
Aceh Selatan,3.1,2.45,2.17
Aceh Tenggara,2.62,2.33,2.63
Aceh Timur,2.98,2.52,2.7
Aceh Tengah,2.88,2.95,2.6
Aceh Barat,4.76,4.06,3.32
Aceh Besar,3.71,3.66,2.63
Pidie,3.44,3.66,3.01
Bireuen,4.11,3.46,2.87
Aceh Utara,4.46,3.79,3.4
Aceh Barat Daya,3.31,2.63,2.34
Gayo Lues,3.4,3.35,2.84
Aceh Tamiang,2.7,2.27,2.35
Nagan Raya,4.43,3.54,3.78
Aceh Jaya,3.67,3.69,3.47
Bener Meriah,3.64,3.94,3.78
Pidie Jaya,3.78,5.28,3.79
Kota Banda Aceh,1.46,1.43,1.73
Kota Sabang,4.36,3.91,3.91
Kota Langsa,3.09,2.36,1.84
Kota Lhokseumawe,2.68,2.11,1.36
Kota Subulussalam,4.87,4.28,4.12
SUMATERA UTARA,1.79,1.8,1.82
Nias,4.14,2.58,2.44
Mandailing Natal,1.53,1.34,1.6
Tapanuli Selatan,1.25,1.7,1.31
Tapanuli Tengah,2.86,2.8,2
Tapanuli Utara,2.12,1.4,1.42
Toba Samosir,1.64,1.22,1.4
Labuhan Batu,2.25,1.73,1.15
Asahan,1.53,1.52,1.32
Simalungun,1.8,1.18,1.11
Dairi,1.3,1.05,1.17
Karo,1.52,1.68,1.12
Deli Serdang,0.45,0.62,0.8
Langkat,1.92,1.84,1.63
Nias Selatan,2.51,2.32,2.33
Humbang Hasundutan,1.61,1.39,1.06
Pakpak Bharat,1.32,1.25,1.42
Samosir,2.69,2.55,1.7
Serdang Bedagai,1.69,1.41,1.43
Batu Bara,1.89,1.32,1.5
Padang Lawas Utara,1.78,1.35,1.18
Padang Lawas,1.42,1.26,1.25
Labuhan Batu Selatan,2.53,2.5,1.84
Labuhan Batu Utara,2.02,1.81,1.16
Nias Utara,5.23,5.01,6.09
Nias Barat,7.22,4.93,4.28
Kota Sibolga,1.77,2,2.46
Kota Tanjung Balai,2.65,2.21,1.85
Kota Pematang Siantar,1.55,1.62,2.29
Kota Tebing Tinggi,1.87,1.98,1.87
Kota Medan,1.57,1.7,1.49
Kota Binjai,1.06,1.01,0.54
Kota Padangsidimpuan,1.79,1.44,1.03
Kota Gunungsitoli,11.57,7.09,5.25
SUMATERA BARAT,1.45,1.5,1.24
Kepulauan Mentawai,5.06,3.94,3.2
Pesisir Selatan,1.65,1.81,1.11
Solok,1.68,1.62,1.09
Sijunjung,2.19,1.16,1.09
Tanah Datar,0.86,0.65,0.8
Padang Pariaman,1.36,1.61,1.45
Agam,1.36,1.29,0.78
Lima Puluh Kota,1.96,1.23,1.13
Pasaman,1.3,1.45,1.01
Solok Selatan,1.33,1.39,1.24
Dharmasraya,1.83,1.07,1.4
Pasaman Barat,1.4,1,0.94
Kota Padang,1.1,0.8,0.91
Kota Solok,1.15,1.06,0.68
Kota Sawah Lunto,0.19,0.25,0.26
Kota Padang Panjang,1.06,0.6,1.17
Kota Bukittinggi,0.69,0.99,0.96
Kota Payakumbuh,1.58,1.41,1.27
Kota Pariaman,0.89,0.46,0.73
RIAU,1.76,1.36,1.13
Kuantan Singingi,2.05,1.6,1.52
Indragiri Hulu,1.23,1.04,1.31
Indragiri Hilir,1.73,1.27,1.26
Pelalawan,2.68,2.15,1.87
Siak,0.71,1.06,0.58
Kampar,1.37,1.38,0.97
Rokan Hulu,1.99,1.95,1.41
Bengkalis,1.7,0.7,0.98
Rokan Hilir,1.48,0.92,1.09
Kepulauan Meranti,10.81,7.96,7.31
Kota Pekanbaru,0.87,0.46,0.5
Kota Dumai,1.07,0.57,0.99
JAMBI,1.21,1.29,1.37
Kerinci,1.18,1,0.97
Merangin,0.85,0.92,1.19
Sarolangun,1.61,1.34,1.43
Batang Hari,1.18,1.2,1.36
Muaro Jambi,0.56,0.43,0.45
Tanjung Jabung Timur,1.22,1.84,1.66
Tanjung Jabung Barat,2.03,1.47,1.32
Tebo,0.87,0.75,0.93
Bungo,0.7,0.52,0.61
Kota Jambi,1.86,1.21,1.52
Kota Sungai Penuh,0.46,0.3,0.53
SUMATERA SELATAN,2.38,2.41,1.85
Ogan Komering Ulu,2.03,2.26,2.1
Ogan Komering Ilir,2.97,2.38,2.39
Muara Enim,1.74,2.1,1.95
Lahat,3.58,3.25,2.34
Musi Rawas,3.4,2.75,2.38
Musi Banyuasin,2.65,2.94,2.76
Banyu Asin,1.65,1.95,1.34
Ogan Komering Ulu Selatan,2.11,1.45,1.02
Ogan Komering Ulu Timur,1.6,1.28,1.02
Ogan Ilir,1.88,1.94,1.64
Empat Lawang,2.4,1.55,1.73
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,2.67,2.87,2.23
Kota Prabumulih,1.93,1.62,1.73
Kota Pagar Alam,1.11,1.02,0.75
Kota Lubuklinggau,3.12,2.64,1.6
BENGKULU,2.79,2.97,3.05
Bengkulu Selatan,3.64,4.56,4.11
Rejang Lebong,2.68,2.05,2.53
Bengkulu Utara,2.35,1.76,2.37
Kaur,3.86,3.54,4.27
Seluma,3.36,3.55,3.72
Mukomuko,2.65,2.8,2.71
Lebong,2.06,1.38,2.49
Kepahiang,2.36,2.2,2.6
Bengkulu Tengah,0.7,0.67,0.64
Kota Bengkulu,3.3,4.1,3.91
LAMPUNG,2.99,2.91,2.53
Lampung Barat,2.6,2.95,2.41
Tanggamus,2.66,2.68,2.61
Lampung Selatan,3.41,2.98,3.06
Lampung Timur,3.41,3.3,3.19
Lampung Tengah,2.46,2.77,2.52
Lampung Utara,5.42,5.94,4.56
Way Kanan,3.05,2.92,2.38
Tulangbawang,1.55,1.45,1.3
Pesawaran,4.03,3.26,2.85
Pringsewu,2.36,1.71,1.19
Mesuji,1.06,0.9,0.93
Tulang Bawang Barat,1.35,0.99,0.91
Pesisir Barat,-,-,-
Kota Bandar Lampung,2.99,2.15,1.74
Kota Metro,2.46,2.27,1.35
KEP. BANGKA BELITUNG,1.06,0.84,0.66
Bangka,0.92,0.63,0.68
Belitung,1.25,0.81,0.79
Bangka Barat,1.09,0.57,0.47
Bangka Tengah,1.07,0.78,0.76
Bangka Selatan,1.01,0.56,0.41
Belitung Timur,1.42,0.9,0.75
Kota Pangkal Pinang,0.92,0.46,0.5
KEPULAUAN RIAU,1.31,1.17,0.85
Karimun,0.85,0.95,0.72
Bintan,1.34,0.96,0.82
Natuna,0.71,0.73,0.68
Lingga,3.16,2.13,2.49
Kepulauan Anambas,0.81,0.47,0.28
Kota Batam,1.06,0.72,0.82
Kota Tanjung Pinang,2.58,2.03,1.45
DKI JAKARTA,0.64,0.46,0.56
Kepulauan Seribu,0.97,1.1,1.52
Kota Jakarta Selatan,0.67,0.3,0.51
Kota Jakarta Timur,0.41,0.36,0.36
Kota Jakarta Pusat,0.85,0.49,0.63
Kota Jakarta Barat,0.62,0.48,0.36
Kota Jakarta Utara,0.92,0.68,0.98
JAWA BARAT,1.68,1.72,1.62
Bogor,1.67,1.6,1.27
Sukabumi,1.38,1.68,1.33
Cianjur,1.85,2.35,2.01
Bandung,1.14,1.72,1.37
Garut,1.8,1.93,1.79
Tasikmalaya,1.7,1.31,2.17
Ciamis,1.62,1.32,1.76
Kuningan,1.75,1.86,1.91
Cirebon,2.45,2.25,2.15
Majalengka,2.55,2.11,2.52
Sumedang,1.93,2.03,1.79
Indramayu,2.24,2.46,2.12
Subang,2.22,1.67,1.51
Purwakarta,1.99,1.76,1.57
Karawang,2.46,1.82,1.71
Bekasi,0.88,0.9,0.88
Bandung Barat,2.4,2.17,1.82
Pangandaran,-,-,-
Kota Bogor,1.6,1.33,1.26
Kota Sukabumi,1.51,1.19,0.98
Kota Bandung,0.98,0.8,0.59
Kota Cirebon,2.12,2.18,1.65
Kota Bekasi,1.18,0.52,0.98
Kota Depok,0.51,0.5,0.21
Kota Cimahi,1.42,0.91,1.14
Kota Tasikmalaya,4.11,3.21,3.79
Kota Banjar,1.21,0.86,0.8
JAWA TENGAH,2.62,2.58,2.39
Cilacap,3.04,2.59,2.22
Banyumas,3.56,3.69,3.42
Purbalingga,4,3.11,3.72
Banjarnegara,3.34,3.15,3.39
Kebumen,3.68,3.94,3.35
Purworejo,2.67,2.82,2.78
Wonosobo,3.96,4.52,3.91
Magelang,2.05,2.05,2.09
Boyolali,2.34,2.15,2.14
Klaten,2.95,3.43,2.14
Sukoharjo,1.54,1.68,1.78
Wonogiri,3.02,3.09,1.76
Karanganyar,1.98,1.98,2.24
Sragen,2.85,2.89,2.38
Grobogan,2.48,2.62,2.55
Blora,2.38,2.35,2.19
Rembang,3.5,2.86,2.76
Pati,2.43,2.07,1.72
Kudus,0.92,1.16,0.92
