Nama Wilayah,,,
,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,,
,2007,2008,2009
ACEH,1.64,1.55,1.46
Simeulue,1.22,1.19,1.01
Aceh Singkil,1.5,1.38,0.84
Aceh Selatan,1.21,1.01,0.56
Aceh Tenggara,0.94,0.66,0.68
Aceh Timur,2.53,1.72,0.99
Aceh Tengah,0.92,1.03,0.74
Aceh Barat,2.32,4.83,1.85
Aceh Besar,2.17,1.7,1.31
Pidie,1.18,1.62,0.9
Bireuen,1.5,1.66,1.3
Aceh Utara,1.98,1.68,1.15
Aceh Barat Daya,1.35,0.82,0.7
Gayo Lues,1.12,1.09,1.8
Aceh Tamiang,1.39,0.88,1
Nagan Raya,2.55,2.26,1.47
Aceh Jaya,1.57,1.94,1.37
Bener Meriah,1.14,1.11,0.98
Pidie Jaya,0.99,2.57,1.33
Kota Banda Aceh,0.2,1.31,0.36
Kota Sabang,1.38,1.82,0.93
Kota Langsa,0.6,1.31,0.79
Kota Lhokseumawe,1.09,0.72,0.37
Kota Subulussalam,1.17,1.28,1.52
SUMATERA UTARA,0.55,0.52,0.63
Nias,0.95,0.86,1.76
Mandailing Natal,0.59,0.46,0.46
Tapanuli Selatan,0.44,0.25,0.32
Tapanuli Tengah,1.39,0.95,0.65
Tapanuli Utara,0.74,0.32,0.27
Toba Samosir,0.46,0.63,0.26
Labuhan Batu,0.57,0.43,0.33
Asahan,0.53,0.47,0.54
Simalungun,0.61,0.63,0.48
Dairi,0.38,0.36,0.36
Karo,0.49,1.64,0.23
Deli Serdang,0.25,0.27,0.09
Langkat,0.9,0.76,0.36
Nias Selatan,1.5,0.56,0.81
Humbang Hasundutan,0.42,0.43,0.47
Pakpak Bharat,0.92,0.51,0.24
Samosir,1.13,0.54,0.38
Serdang Bedagai,0.45,0.52,0.22
Batu Bara,0.87,0.34,0.34
Padang Lawas Utara,-,-,0.48
Padang Lawas,-,-,0.36
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,0.5,0.52,0.56
Kota Tanjung Balai,0.34,0.45,1.06
Kota Pematang Siantar,0.16,0.54,0.35
Kota Tebing Tinggi,0.15,0.53,0.55
Kota Medan,0.35,0.46,0.35
Kota Binjai,0.19,0.3,0.21
Kota Padangsidimpuan,0.41,0.61,0.55
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,0.44,0.44,0.43
Kepulauan Mentawai,0.38,0.76,1.39
Pesisir Selatan,0.32,0.61,0.33
Solok,1.08,0.8,0.32
Sijunjung,0.42,0.73,0.27
Tanah Datar,0.11,0.27,0.18
Padang Pariaman,0.87,0.84,0.43
Agam,0.45,0.33,0.26
Lima Puluh Kota,0.57,0.33,0.2
Pasaman,0.64,0.46,0.44
Solok Selatan,0.52,0.42,0.35
Dharmasraya,0.74,0.62,0.54
Pasaman Barat,0.39,0.38,0.25
Kota Padang,0.06,0.15,0.25
Kota Solok,0.11,0.33,0.28
Kota Sawah Lunto,0.05,0.12,0.05
Kota Padang Panjang,0.09,0.23,0.28
Kota Bukittinggi,0.24,0.16,0.2
Kota Payakumbuh,0.35,0.4,0.42
Kota Pariaman,0.14,0.19,0.25
RIAU,0.68,0.75,0.55
Kuantan Singingi,0.92,1.19,0.69
Indragiri Hulu,0.64,0.66,0.43
Indragiri Hilir,0.54,0.71,0.55
Pelalawan,0.94,2.16,1
Siak,0.21,0.23,0.25
Kampar,0.61,0.51,0.53
Rokan Hulu,1.25,2.47,0.86
Bengkalis,0.55,0.64,0.35
Rokan Hilir,0.44,0.58,0.38
Kepulauan Meranti,-,-,-
Kota Pekanbaru,0.06,0.1,0.11
Kota Dumai,0.2,0.13,0.15
JAMBI,0.54,0.58,0.29
Kerinci,0.44,0.56,0.14
Merangin,0.34,0.47,0.26
Sarolangun,0.61,2.02,0.33
Batang Hari,0.58,0.63,0.16
Muaro Jambi,0.21,0.15,0.1
Tanjung Jabung Timur,0.49,0.54,0.4
Tanjung Jabung Barat,0.34,0.65,0.41
Tebo,0.23,0.19,0.21
Bungo,0.25,0.35,0.17
Kota Jambi,0.21,0.6,0.22
Kota Sungai Penuh,-,-,-
SUMATERA SELATAN,1.14,1.14,0.85
Ogan Komering Ulu,0.32,0.76,0.43
Ogan Komering Ilir,0.94,0.83,0.6
Muara Enim,0.45,0.84,0.35
Lahat,0.99,2.47,1.11
Musi Rawas,1.48,1.65,0.76
Musi Banyuasin,1.4,2.61,1.03
Banyu Asin,0.61,1.14,0.44
Ogan Komering Ulu Selatan,0.45,0.69,0.42
Ogan Komering Ulu Timur,0.43,0.8,0.62
Ogan Ilir,0.44,1.11,0.52
Empat Lawang,0.99,0.71,0.91
Penukal Abab Lematang Ilir,-,-,-
Musi Rawas Utara,-,-,-
Kota Palembang,0.37,0.87,0.63
Kota Prabumulih,0.2,0.81,0.58
Kota Pagar Alam,0.34,0.4,0.33
Kota Lubuklinggau,0.47,1.25,0.61
BENGKULU,1,1.12,1.32
Bengkulu Selatan,1.95,2.41,1.63
Rejang Lebong,0.49,1.2,0.6
Bengkulu Utara,1.07,0.78,0.47
Kaur,1.3,1.17,1.46
Seluma,2.09,1.75,1.37
Mukomuko,0.88,0.57,0.75
Lebong,0.57,0.67,0.44
Kepahiang,0.56,0.5,0.6
Bengkulu Tengah,-,-,-
Kota Bengkulu,0.34,1.09,1.01
LAMPUNG,1.07,1.25,1.12
Lampung Barat,1.07,1.22,1.09
Tanggamus,0.97,1.2,0.96
Lampung Selatan,1.39,1.67,1.31
Lampung Timur,1.22,1.66,0.85
Lampung Tengah,0.96,1.1,0.88
Lampung Utara,1.42,1.72,1.39
Way Kanan,1,1.37,0.84
Tulangbawang,0.47,0.5,0.41
Pesawaran,-,-,0.99
Pringsewu,-,-,-
Mesuji,-,-,-
Tulang Bawang Barat,-,-,-
Pesisir Barat,-,-,-
Kota Bandar Lampung,0.21,0.74,0.48
Kota Metro,0.64,1.04,1.07
KEP. BANGKA BELITUNG,0.47,0.34,0.4
Bangka,0.25,0.37,0.45
Belitung,0.31,0.43,0.43
Bangka Barat,0.1,0.23,0.31
Bangka Tengah,0.39,0.25,0.23
Bangka Selatan,0.48,0.23,0.23
Belitung Timur,0.77,0.7,0.45
Kota Pangkal Pinang,0.09,0.3,0.22
KEPULAUAN RIAU,0.5,0.55,0.59
Karimun,0.18,0.34,0.17
Bintan,0.44,0.16,0.31
Natuna,0.39,0.46,0.11
Lingga,1.87,1.53,0.77
Kepulauan Anambas,-,-,-
Kota Batam,0.96,0.36,0.52
Kota Tanjung Pinang,0.98,1.31,0.75
DKI JAKARTA,0.12,0.13,0.15
Kepulauan Seribu,0.53,0.44,0.42
Kota Jakarta Selatan,0.27,0.15,0.09
Kota Jakarta Timur,0.17,0.12,0.11
Kota Jakarta Pusat,0.31,0.09,0.19
Kota Jakarta Barat,0.08,0.1,0.06
Kota Jakarta Utara,0.28,0.2,0.25
JAWA BARAT,0.57,0.84,0.7
Bogor,0.71,1.04,0.38
Sukabumi,0.85,0.95,0.31
Cianjur,0.46,1.17,0.32
Bandung,0.52,0.71,0.26
Garut,0.56,1.22,0.46
Tasikmalaya,0.71,0.92,0.62
Ciamis,0.51,0.52,0.52
Kuningan,0.87,0.75,0.43
Cirebon,1.64,0.79,0.81
Majalengka,0.7,1.86,0.48
Sumedang,0.62,0.8,0.63
Indramayu,0.66,2.22,0.46
Subang,0.62,0.82,0.79
Purwakarta,0.7,0.56,0.43
Karawang,0.59,0.48,0.58
Bekasi,0.35,0.3,0.2
Bandung Barat,1.05,1.31,0.85
Pangandaran,-,-,-
Kota Bogor,0.47,0.47,0.29
Kota Sukabumi,0.18,0.49,0.62
Kota Bandung,0.18,0.22,0.11
