Provinsi,Rencana Jumlah Keluarga Penerima Manfaat (KPM) Bantuan Sosial Pangan (BANSOS PANGAN),Realisasi Jumlah Keluarga Penerima Manfaat (KPM) Bantuan Sosial Pangan (BANSOS PANGAN),Rencana Anggaran Bantuan Sosial Pangan (BANSOS PANGAN) (Rp),Realisasi Anggaran Bantuan Sosial Pangan (BANSOS PANGAN) (Rp),Tahun
Aceh,381450,2725670,41959500000,299824000000,2018
Sumatera Utara,713176,5913882,78449360000,650527000000,2018
Sumatera Barat,248418,2001831,27325980000,220201000000,2018
Riau,230318,757615,25334980000,83337650000,2018
Jambi,478586,1231614,52644460000,135478000000,2018
Sumatera Selatan,461538,1583167,50769180000,174148000000,2018
Bengkulu,132645,921164,14590950000,101328000000,2018
Lampung,603223,5253609,66354530000,577897000000,2018
Kepulauan Bangka Belitung,43019,202322,4732090000,22255420000,2018
Kepulauan Riau,61272,235051,6739920000,25855610000,2018
DKI Jakarta,214249,188101,23567390000,20691110000,2018
Jawa Barat,2517699,9710183,276947000000,1068120000000,2018
Jawa Tengah,2550603,14391204,280566000000,1583030000000,2018
DI Yogyakarta,...,703371,...,77370810000,2018
Jawa Timur,2889929,11880568,317892000000,1306860000000,2018
Banten,484019,1841399,53242090000,202554000000,2018
Bali,137433,159149,15117630000,17506390000,2018
Nusa Tenggara Barat,473049,4490940,52035390000,494003000000,2018
Nusa Tenggara Timur,452557,3051720,49781270000,335689000000,2018
Kalimantan Barat,221074,2210650,24318140000,243172000000,2018
Kalimantan Tengah,81384,726642,8952240000,79930620000,2018
Kalimantan Selatan,149293,1383811,16422230000,152219000000,2018
Kalimantan Timur,120523,1154880,13257530000,127037000000,2018
Kalimantan Utara,23086,142233,2539460000,15645630000,2018
Sulawesi Utara,146428,829909,16107080000,91289990000,2018
Sulawesi Tengah,201887,1910400,22207570000,210144000000,2018
Sulawesi Selatan,445654,3103836,49021940000,341422000000,2018
Sulawesi Tenggara,154675,1366420,17014250000,150306000000,2018
Gorontalo,89673,394120,9864030000,43353200000,2018
Sulawesi Barat,73984,739000,8138240000,81290000000,2018
Maluku,124448,954160,13689280000,104958000000,2018
Maluku Utara,51463,514050,5660930000,56545500000,2018
Papua Barat,95488,659620,10503680000,72558200000,2018
Papua,448931,2825260,49382410000,310779000000,2018
Indonesia,15501174,86157551,1705130000000,9477330000000,2018
