Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
,2016,2017,2018,2016,2017,2018
ACEH,12286,12551,12917,7531,7641,7853
Simeulue,-,10708,10907,-,3189,3296
Aceh Singkil,-,14113,14608,-,5573,5749
Aceh Selatan,-,10240,10675,-,6638,6904
Aceh Tenggara,-,10757,11115,-,7176,7496
Aceh Timur,-,12578,12874,-,5283,5445
Aceh Tengah,-,10458,10845,-,8904,9242
Aceh Barat,-,13420,13627,-,5381,5449
Aceh Besar,-,11626,11737,-,8360,8773
Pidie,-,11906,12312,-,8460,8544
Bireuen,-,10834,11238,-,7947,8065
Aceh Utara,-,9918,10329,-,6549,6757
Aceh Barat Daya,-,13545,13939,-,6415,6699
Gayo Lues,-,12700,12996,-,7288,7440
Aceh Tamiang,-,14851,15012,-,4431,4479
Nagan Raya,-,11787,12115,-,6543,6731
Aceh Jaya,-,14192,14573,-,6921,7175
Bener Meriah,-,12625,12806,-,10260,10524
Pidie Jaya,-,12786,13120,-,9463,9703
Kota Banda Aceh,-,18585,19001,-,14380,14680
Kota Sabang,-,13057,13309,-,9848,10225
Kota Langsa,-,14623,14961,-,10352,10547
Kota Lhokseumawe,-,13898,14136,-,10102,10261
Kota Subulussalam,-,11119,11317,-,4792,4891
SUMATERA UTARA,14153,14522,15124,7772,7915,8138
Nias,-,7556,7769,-,6131,6486
Mandailing Natal,-,14381,14480,-,9030,9518
Tapanuli Selatan,-,16539,16801,-,8569,8756
Tapanuli Tengah,-,13066,13172,-,9450,9673
Tapanuli Utara,-,12300,12511,-,11234,11419
Toba Samosir / Toba,-,12402,12705,-,11628,11790
Labuhan Batu,-,16933,17237,-,8405,8623
Asahan,-,15893,16295,-,8530,8729
Simalungun,-,16052,16326,-,9575,9785
Dairi,-,10748,10870,-,10053,10116
Karo,-,13760,14052,-,10040,10353
Deli Serdang,-,17985,18246,-,9648,9831
Langkat,-,16547,16599,-,7242,7588
Nias Selatan,-,10539,10671,-,6167,6365
Humbang Hasundutan,-,7816,8059,-,6795,7007
Pakpak Bharat,-,8771,8977,-,7685,7858
Samosir,-,9431,9636,-,8041,8215
Serdang Bedagai,-,16496,16711,-,7469,7590
Batu Bara,-,16406,16735,-,5059,5200
Padang Lawas Utara,-,15977,16184,-,6441,6547
Padang Lawas,-,13209,13539,-,5079,5242
Labuhan Batu Selatan,-,18180,18608,-,7276,7424
Labuhan Batu Utara,-,17615,17848,-,8458,8608
Nias Utara,-,9161,9763,-,3692,3796
Nias Barat,-,8170,8672,-,5122,5320
Kota Sibolga,-,13101,13314,-,10748,10913
Kota Tanjung Balai,-,17331,17822,-,7758,7980
Kota Pematang Siantar,-,13799,13995,-,11713,11879
Kota Tebing Tinggi,-,17069,17762,-,10794,11141
Kota Medan,-,21318,21915,-,13725,13928
Kota Binjai,-,15682,16315,-,8436,8637
Kota Padangsidimpuan,-,12602,13109,-,10097,10369
Kota Gunungsitoli,-,10738,11391,-,6924,7102
SUMATERA BARAT,14086,14446,14899,9286,9379,9641
Kepulauan Mentawai,-,8770,9069,-,5506,5698
Pesisir Selatan,-,11614,12033,-,8441,8690
Solok,-,13699,14007,-,9448,9721
Sijunjung,-,15415,15464,-,9161,9361
Tanah Datar,-,12224,12626,-,9810,9903
Padang Pariaman,-,15800,16157,-,9559,9753
Agam,-,11594,12054,-,8848,8934
Lima Puluh Kota,-,12691,12975,-,8727,9084
Pasaman,-,11363,11723,-,6848,7030
Solok Selatan,-,13248,13694,-,8849,9114
Dharmasraya,-,16674,17013,-,7366,7558
Pasaman Barat,-,12876,13166,-,6238,6426
Kota Padang,-,20657,21150,-,12536,12889
Kota Solok,-,14893,15135,-,10861,11161
Kota Sawah Lunto,-,13121,13341,-,8880,9321
Kota Padang Panjang,-,10716,10932,-,8651,8780
Kota Bukittinggi,-,13724,13956,-,12565,12777
Kota Payakumbuh,-,14451,14752,-,12658,12907
Kota Pariaman,-,13817,14027,-,11831,11985
RIAU,15848,16093,16499,7075,7189,7392
Kuantan Singingi,-,15271,15561,-,7754,7916
Indragiri Hulu,-,16077,16472,-,6412,6553
Indragiri Hilir,-,16472,16811,-,5081,5179
Pelalawan,-,18509,18654,-,8236,8513
Siak,-,18488,18819,-,8294,8436
Kampar,-,16522,16838,-,8100,8259
Rokan Hulu,-,16351,16877,-,5135,5369
Bengkalis,-,17237,17413,-,8211,8318
Rokan Hilir,-,14732,14828,-,5384,5413
Kepulauan Meranti,-,11858,12167,-,5363,5498
Kota Pekanbaru,-,20929,21320,-,12864,13099
Kota Dumai,-,17121,17642,-,8740,9000
JAMBI,14547,14962,15522,7001,7081,7367
Kerinci,-,14767,15257,-,6712,7026
Merangin,-,14073,14231,-,6601,6987
Sarolangun,-,16509,16702,-,9673,9785
Batang Hari,-,15273,15744,-,5637,5816
Muaro Jambi,-,12945,13258,-,3749,3952
Tanjung Jabung Timur,-,13695,14206,-,5939,6181
Tanjung Jabung Barat,-,13405,13848,-,5344,5622
Tebo,-,14413,14867,-,7973,8327
Bungo,-,16934,17494,-,8189,8418
Kota Jambi,-,15312,15647,-,10926,11187
Kota Sungai Penuh,-,11954,12554,-,9480,9915
SUMATERA SELATAN,13920,14330,14772,8797,8927,9262
Ogan Komering Ulu,-,13990,14411,-,9068,9670
Ogan Komering Ilir,-,15458,15863,-,8948,9316
Muara Enim,-,15000,15451,-,8056,8462
Lahat,-,12396,12855,-,9052,9474
Musi Rawas,-,14264,14579,-,5726,6089
Musi Banyuasin,-,15483,16012,-,4896,5205
Banyu Asin,-,13873,14334,-,6898,7199
Ogan Komering Ulu Selatan,-,11459,11929,-,7111,7306
Ogan Komering Ulu Timur,-,14550,14975,-,10942,11411
Ogan Ilir,-,9969,10410,-,10557,10945
Empat Lawang,-,12828,13284,-,8461,8874
Penukal Abab Lematang Ilir,-,11004,11441,-,7351,7629
Musi Rawas Utara,-,13499,13951,-,8976,9198
Kota Palembang,-,16396,16887,-,14054,14348
Kota Prabumulih,-,18100,18534,-,11726,12008
Kota Pagar Alam,-,11229,11650,-,7844,8226
Kota Lubuklinggau,-,16685,17148,-,12533,12937
BENGKULU,13273,13683,14197,7705,7811,8014
Bengkulu Selatan,-,12531,12930,-,8947,9313
Rejang Lebong,-,13402,13800,-,8928,9207
Bengkulu Utara,-,14209,14715,-,8160,8374
Kaur,-,11421,11923,-,5709,5958
Seluma,-,11848,12168,-,4988,5203
Mukomuko,-,15350,15707,-,5643,5794
Lebong,-,16739,17024,-,9289,9465
Kepahiang,-,11035,11330,-,8573,8769
Bengkulu Tengah,-,13026,13536,-,6041,6262
Kota Bengkulu,-,16237,16758,-,12451,12863
LAMPUNG,12962,13335,14044,7240,7347,7660
Lampung Barat,-,12411,12858,-,8156,8373
Tanggamus,-,12961,13527,-,7021,7370
Lampung Selatan,-,13427,13756,-,6791,7284
Lampung Timur,-,14081,14592,-,7269,7613
Lampung Tengah,-,15390,15604,-,7981,8286
Lampung Utara,-,12274,12584,-,6146,6322
Way Kanan,-,12844,13366,-,6225,6573
Tulangbawang,-,14958,15669,-,7422,7764
Pesawaran,-,11918,12320,-,5477,5736
Pringsewu,-,15072,15620,-,9279,9626
Mesuji,-,11118,11687,-,4470,4625
Tulang Bawang Barat,-,11002,11551,-,5489,5831
Pesisir Barat,-,9778,10308,-,7657,7749
Kota Bandar Lampung,-,16354,16741,-,11035,11281
Kota Metro,-,14028,14341,-,11074,11312
KEP. BANGKA BELITUNG,17865,18257,19060,8386,8448,8820
Bangka,-,16912,17773,-,7573,8002
Belitung,-,19238,19770,-,8516,8726
Bangka Barat,-,17046,17808,-,8562,8929
Bangka Tengah,-,18147,18803,-,10023,10320
Bangka Selatan,-,17551,18243,-,5863,6080
Belitung Timur,-,16945,17529,-,6480,6761
Kota Pangkal Pinang,-,20692,21596,-,13520,14117
KEPULAUAN RIAU,19182,19398,19939,11768,11951,12268
Karimun,-,18067,18413,-,9604,9832
Bintan,-,20505,20914,-,11702,12280
Natuna,-,20182,20525,-,10972,11152
Lingga,-,16948,17015,-,9409,9622
Kepulauan Anambas,-,16822,17047,-,8884,9203
Kota Batam,-,25035,25624,-,16442,16841
Kota Tanjung Pinang,-,17907,18417,-,14468,14862
DKI JAKARTA,21247,21620,22345,16284,16433,16762
Kep. Seribu,-,16680,17196,-,11406,11765
