Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
,2022,2023,2022,2023
ACEH,14025,14497,8495,8751
Simeulue,11709,12202,3560,3700
Aceh Singkil,15346,15905,6062,6269
Aceh Selatan,11317,11792,7294,7599
Aceh Tenggara,12210,12692,8005,8291
Aceh Timur,14215,14687,5937,6109
Aceh Tengah,11755,12159,9735,10019
Aceh Barat,14524,14995,5852,6018
Aceh Besar,12821,13288,9205,9521
Pidie,13249,13704,9134,9437
Bireuen,12673,13082,9092,9371
Aceh Utara,11459,11933,7371,7621
Aceh Barat Daya,14882,15547,7114,7427
Gayo Lues,13852,14299,7870,8151
Aceh Tamiang,16377,16752,4880,5051
Nagan Raya,13187,13777,7175,7558
Aceh Jaya,15694,16340,7724,8037
Bener Meriah,13872,14331,11219,11563
Pidie Jaya,14161,14574,10366,10649
Kota Banda Aceh,20149,20509,15503,15749
Kota Sabang,14494,14875,10905,11223
Kota Langsa,16074,16430,11223,11506
Kota Lhokseumawe,15262,15803,11070,11459
Kota Subulussalam,12382,13059,5236,5524
SUMATERA UTARA,15762,16033,8540,8655
Nias,8193,8390,6723,6814
Mandailing Natal,15437,15718,9883,9999
Tapanuli Selatan,17575,17706,9136,9224
Tapanuli Tengah,13945,14215,10004,10159
Tapanuli Utara,12886,13330,11794,11804
Toba Samosir / Toba,13203,13428,12185,12279
Labuhan Batu,17760,17982,8993,9135
Asahan,17250,17533,9360,9526
Simalungun,16686,16946,9954,10134
Dairi,11147,11396,10314,10433
Karo,14213,14491,10412,10601
Deli Serdang,18783,19116,10178,10332
Langkat,16878,17101,7985,8078
Nias Selatan,10688,10835,6610,6698
Humbang Hasundutan,8716,8993,7572,7751
Pakpak Bharat,9468,9705,8319,8410
Samosir,10200,10380,8856,8931
Serdang Bedagai,17789,18031,8084,8190
Batu Bara,17286,17481,5511,5603
Padang Lawas Utara,16663,16880,7211,7306
Padang Lawas,14152,14432,5612,5766
Labuhan Batu Selatan,19420,19737,7822,7943
Labuhan Batu Utara,18464,18734,9113,9208
Nias Utara,10559,10894,4104,4254
Nias Barat,9062,9324,5630,5847
Kota Sibolga,14118,14305,11574,11675
Kota Tanjung Balai,18621,18873,8418,8505
Kota Pematang Siantar,14701,14941,12258,12446
Kota Tebing Tinggi,18583,18867,11768,11930
Kota Medan,22801,23037,14517,14631
Kota Binjai,16902,17201,9143,9260
Kota Padangsidimpuan,13638,13858,11035,11143
Kota Gunungsitoli,12455,12693,7815,7913
SUMATERA BARAT,15634,15954,10044,10218
Kepulauan Mentawai,9628,10156,6003,6272
Pesisir Selatan,12693,13363,9211,9345
Solok,14718,14926,10193,10284
Sijunjung,16069,16522,9573,9946
Tanah Datar,12928,13183,10045,10151
Padang Pariaman,16500,16892,9969,10161
Agam,12828,13100,9567,9704
Lima Puluh Kota,13905,14171,9504,9700
Pasaman,12299,12702,7253,7467
Solok Selatan,13990,14430,9426,9674
Dharmasraya,17787,18158,7839,7956
Pasaman Barat,13785,13976,6687,6779
Kota Padang,22078,22349,13387,13582
Kota Solok,15782,15984,11604,11731
Kota Sawah Lunto,14388,14798,9983,10169
Kota Padang Panjang,11689,12065,9401,9462
Kota Bukittinggi,14581,14807,13337,13337
Kota Payakumbuh,15374,15725,13455,13557
Kota Pariaman,14707,14950,12398,12412
RIAU,16727,17130,7517,7681
Kuantan Singingi,15866,16169,8019,8282
Indragiri Hulu,16344,16940,6639,6836
Indragiri Hilir,16757,17352,5171,5345
Pelalawan,19316,19678,8646,8761
Siak,18944,19352,8486,8726
Kampar,17157,17432,8412,8568
Rokan Hulu,17450,17819,5513,5623
Bengkalis,17780,18376,8504,8694
Rokan Hilir,15499,15788,5737,5838
Kepulauan Meranti,12535,13084,5632,5844
Kota Pekanbaru,21162,21403,13143,13287
Kota Dumai,17782,17991,9105,9207
JAMBI,16271,16672,7683,7846
Kerinci,16137,16659,7425,7662
Merangin,15043,15412,7333,7437
Sarolangun,17437,17861,10128,10387
Batang Hari,16037,16586,5971,6149
Muaro Jambi,14277,14905,4351,4486
Tanjung Jabung Timur,15346,15974,6575,6788
Tanjung Jabung Barat,14696,14981,5950,6056
Tebo,15638,15895,8737,8844
Bungo,18400,18800,8820,8995
Kota Jambi,16710,17010,11817,11989
Kota Sungai Penuh,13194,13551,10431,10654
SUMATERA SELATAN,15371,15885,9625,9888
Ogan Komering Ulu,15489,15879,10154,10361
Ogan Komering Ilir,16771,17256,9632,9865
Muara Enim,16366,16926,8551,8896
Lahat,13788,14467,10035,10416
Musi Rawas,15719,16089,6322,6433
Musi Banyuasin,16381,16791,5385,5595
Banyu Asin,15247,15751,7532,7777
Ogan Komering Ulu Selatan,12560,12898,7608,7859
Ogan Komering Ulu Timur,15575,15967,11442,11679
Ogan Ilir,11069,11456,11377,11743
Empat Lawang,13959,14611,9194,9685
Penukal Abab Lematang Ilir,12198,12674,8101,8360
Musi Rawas Utara,14802,15324,9598,9912
Kota Palembang,17541,17967,14780,15008
Kota Prabumulih,19351,19830,12204,12552
Kota Pagar Alam,12419,12809,8726,8966
Kota Lubuklinggau,18038,19016,13379,13431
BENGKULU,15173,15617,8499,8718
Bengkulu Selatan,13992,14361,9978,10215
Rejang Lebong,14530,14934,9634,9798
Bengkulu Utara,15785,16243,8901,9122
Kaur,12983,13487,6377,6610
Seluma,13406,13829,5656,5848
Mukomuko,16864,17368,6175,6282
Lebong,17901,18285,9974,10247
Kepahiang,12128,12548,9285,9596
Bengkulu Tengah,14465,14887,6673,6930
Kota Bengkulu,17909,18384,13647,13938
LAMPUNG,14722,15288,7999,8283
Lampung Barat,13349,13807,8698,9045
Tanggamus,14099,14749,7712,8070
Lampung Selatan,14775,15201,7544,7791
Lampung Timur,15248,15837,7958,8160
Lampung Tengah,16632,17209,8758,9109
Lampung Utara,13103,13603,6585,6857
Way Kanan,14216,14774,6898,7107
Tulangbawang,16502,17041,8104,8382
Pesawaran,12870,13554,6083,6362
Pringsewu,16346,16953,9964,10217
Mesuji,12709,13322,4946,5178
Tulang Bawang Barat,12442,12898,6124,6413
Pesisir Barat,10802,11358,7892,8263
Kota Bandar Lampung,17458,17993,11869,12226
Kota Metro,15128,15597,11740,12087
KEP. BANGKA BELITUNG,19736,20054,9378,9527
Bangka,18961,19244,8628,8765
Belitung,20771,21110,9235,9411
Bangka Barat,18934,19249,9546,9768
Bangka Tengah,19453,19700,10689,10841
Bangka Selatan,19089,19649,6513,6681
Belitung Timur,18949,19129,7317,7426
Kota Pangkal Pinang,22724,23152,14743,15102
KEPULAUAN RIAU,20614,21223,12651,13019
Karimun,18830,19509,9947,10240
Bintan,21839,22036,12600,12707
Natuna,21240,21878,11612,12007
Lingga,17971,18428,9957,10233
