Provinsi/Kabupaten/Kota,,,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,,,
,Laki-laki,,,Perempuan,,
,2010,2011,2012,2010,2011,2012
ACEH,11530.83,11618.49,11706.82,6028.11,6284.74,6552.29
Simeulue,8045.68,8004.81,8953.73,2078.12,2279.21,2499.75
Aceh Singkil,10174.55,11152.27,11666.81,3337.5,3722.66,4152.26
Aceh Selatan,8227.93,9706.38,9726.26,4813.7,5295.13,5642.56
Aceh Tenggara,9870.3,9942.38,10014.99,5865.71,6090.48,6323.85
Aceh Timur,11428.46,11559.46,11691.96,4437.34,4877.96,4913.44
Aceh Tengah,9600.78,9602.41,9604.04,7867.08,8091.21,8090.3
Aceh Barat,11651.08,11662.22,11673.37,4707.09,4804.57,4894.02
Aceh Besar,10487.38,10647.76,10808.14,7403.89,7588.14,7757.87
Pidie,9673.21,10094.98,10535.14,6969.03,7096.09,7223.34
Bireuen,8396.56,8430.22,9825.18,4886.8,5046.34,5677.93
Aceh Utara,7969.95,8357.85,8979.03,4903.5,4997.24,5551.81
Aceh Barat Daya,8469.63,9583.13,10661.79,3962.1,4404.88,4897.15
Gayo Lues,9251.14,10168.54,11176.92,5029.58,5430.37,5863.1
Aceh Tamiang,11520.22,12190.4,12899.58,3315.53,3508.83,3713.4
Nagan Raya,10466.25,10532.57,10598.9,3742.58,3881.32,4021
Aceh Jaya,11227.04,13675.7,13807.89,3286.11,4033.05,4949.77
Bener Meriah,10522.82,10902.02,11294.88,6812.21,8081.39,8812.99
Pidie Jaya,10392.27,10659.61,11077.37,7524.85,7885.26,8262.93
Kota Banda Aceh,16731.53,16814.45,16897.77,11366.26,11903.77,12466.69
Kota Sabang,11157.06,11264.44,11939.03,7258.87,7646.71,8055.26
Kota Langsa,12904.05,13077.01,13252.28,9209.28,9299.3,9390.2
Kota Lhokseumawe,11737.59,11781.7,12095.16,5499.9,7277.81,7925.92
Kota Subulussalam,8920.83,9188.68,9464.39,4309.32,4348.66,4388.37
SUMATERA UTARA,13136.65,13381.91,13631.75,7273.08,7428.6,7463.31
Nias,6133.49,6163.04,6192.58,2720.36,3296.64,3880.5
