Provinsi/Kabupaten/Kota,,,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),,
,2016,2017,2018
ACEH,8768,8957,9186
Simeulue,6542,6677,6824
Aceh Singkil,8068,8230,8506
Aceh Selatan,7397,7567,7891
Aceh Tenggara,7212,7359,7685
Aceh Timur,7825,7961,8252
Aceh Tengah,9920,10021,10394
Aceh Barat,8559,8989,9134
Aceh Besar,8788,8965,9192
Pidie,9273,9377,9492
Bireuen,7885,8237,8378
Aceh Utara,7520,7632,7919
Aceh Barat Daya,7567,7723,8093
Gayo Lues,8048,8322,8529
Aceh Tamiang,7766,7931,8032
Nagan Raya,7460,7732,7936
Aceh Jaya,8796,8898,9262
Bener Meriah,10140,10428,10626
Pidie Jaya,9590,9691,9967
Kota Banda Aceh,15737,15917,16234
Kota Sabang,10507,10610,10899
Kota Langsa,11015,11261,11497
Kota Lhokseumawe,10549,10673,10863
Kota Subulussalam,6669,6887,7039
SUMATERA UTARA,9744,10036,10391
Nias,6409,6629,6941
Mandailing Natal,9237,9385,9653
Tapanuli Selatan,10821,10955,11209
Tapanuli Tengah,9694,9852,10067
Tapanuli Utara,11242,11407,11607
Toba Samosir / Toba,11687,11846,12095
Labuhan Batu,10559,10760,11053
Asahan,10288,10477,10735
Simalungun,10855,11055,11311
Dairi,10190,10395,10492
Karo,11925,12059,12367
Deli Serdang,11683,11891,12132
Langkat,10567,10784,11088
Nias Selatan,6647,6792,6941
Humbang Hasundutan,7135,7412,7630
Pakpak Bharat,7641,7913,8099
Samosir,7813,8163,8348
Serdang Bedagai,10246,10551,10737
Batu Bara,9886,10084,10385
Padang Lawas Utara,9600,9737,9912
Padang Lawas,8094,8445,8772
Labuhan Batu Selatan,10712,10892,11280
Labuhan Batu Utara,11278,11510,11730
Nias Utara,5770,5835,6041
Nias Barat,5391,5594,5817
Kota Sibolga,11034,11221,11405
Kota Tanjung Balai,10577,10778,11102
Kota Pematang Siantar,11878,12106,12290
Kota Tebing Tinggi,11747,12055,12434
Kota Medan,14393,14613,14845
Kota Binjai,10342,10487,10750
Kota Padangsidimpuan,10198,10464,10795
Kota Gunungsitoli,6963,7300,7639
SUMATERA BARAT,10126,10306,10638
Kepulauan Mentawai,5771,6010,6211
Pesisir Selatan,8605,8819,9089
Solok,9664,9743,10035
Sijunjung,9895,10093,10277
Tanah Datar,10296,10311,10417
Padang Pariaman,10455,10579,10919
Agam,9111,9388,9489
Lima Puluh Kota,8936,9151,9500
Pasaman,7678,7882,8238
Solok Selatan,9802,9891,10199
Dharmasraya,10781,10851,11189
Pasaman Barat,8393,8704,8979
Kota Padang,13721,13957,14312
Kota Solok,11519,11673,11968
Kota Sawah Lunto,9051,9343,9765
Kota Padang Panjang,9804,10240,10440
Kota Bukittinggi,12475,12816,13035
Kota Payakumbuh,12705,12858,13114
Kota Pariaman,12141,12425,12611
RIAU,10465,10677,10968
Kuantan Singingi,9892,10274,10476
Indragiri Hulu,10068,10223,10481
Indragiri Hilir,9911,10041,10254
Pelalawan,11641,11725,11894
Siak,11826,11898,12119
Kampar,10765,10912,11128
Rokan Hulu,9065,9303,9608
Bengkalis,11325,11530,11640
Rokan Hilir,9181,9250,9316
Kepulauan Meranti,7194,7673,7978
Kota Pekanbaru,14225,14497,14778
Kota Dumai,11531,11699,12063
JAMBI,9795,9880,10357
Kerinci,9374,9501,9951
Merangin,9644,9753,10133
Sarolangun,11349,11478,11609
Batang Hari,9512,9573,9833
Muaro Jambi,7990,8145,8456
Tanjung Jabung Timur,8136,8403,8904
Tanjung Jabung Barat,8872,9004,9395
Tebo,9745,9832,10273
Bungo,10937,11016,11352
Kota Jambi,11436,11648,11912
Kota Sungai Penuh,9604,9707,10186
SUMATERA SELATAN,9935,10220,10652
Ogan Komering Ulu,8993,9340,9940
Ogan Komering Ilir,10039,10306,10706
Muara Enim,9766,10575,11012
Lahat,9037,9157,9600
Musi Rawas,9140,9218,9562
Musi Banyuasin,9452,9705,10212
Banyu Asin,8899,9328,9760
Ogan Komering Ulu Selatan,7902,7997,8445
Ogan Komering Ulu Timur,11024,11169,11612
Ogan Ilir,9846,9972,10412
Empat Lawang,8944,9010,9450
Penukal Abab Lematang Ilir,7491,7834,8136
Musi Rawas Utara,9272,9348,9795
Kota Palembang,13981,14277,14697
Kota Prabumulih,12162,12355,12765
Kota Pagar Alam,7989,8352,8758
Kota Lubuklinggau,12798,12878,13288
BENGKULU,9492,9778,10162
Bengkulu Selatan,9044,9202,9592
Rejang Lebong,9520,9660,10045
Bengkulu Utara,9566,9698,10098
Kaur,7842,7914,8284
Seluma,7335,7584,7844
Mukomuko,9482,9770,10036
Lebong,10682,10810,11071
Kepahiang,8701,8866,9135
Bengkulu Tengah,8425,8701,9102
Kota Bengkulu,12698,13164,13633
LAMPUNG,9156,9413,9858
Lampung Barat,9106,9517,9741
Tanggamus,8483,8661,9107
Lampung Selatan,9189,9310,9781
