Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
,2022,2023,2024
ACEH,14.64,14.45,14.23
Simeulue,18.37,17.92,17.69
Aceh Singkil,19.18,19.15,19.06
Aceh Selatan,12.43,12.1,12.02
Aceh Tenggara,12.83,12.45,11.99
Aceh Timur,13.91,13.39,13.26
Aceh Tengah,14.5,14.38,14.27
Aceh Barat,17.93,17.86,17.6
Aceh Besar,13.38,13.38,13.21
Pidie,18.79,18.78,18.59
Bireuen,12.51,12.12,12.1
Aceh Utara,16.86,16.64,16.11
Aceh Barat Daya,15.44,15.43,15.32
Gayo Lues,18.87,18.82,18.3
Aceh Tamiang,12.61,12.51,12.17
Nagan Raya,17.38,17.25,16.94
Aceh Jaya,12.51,12.42,12.25
Bener Meriah,18.39,18.31,18.18
Pidie Jaya,18.45,18.4,18.28
Kota Banda Aceh,7.13,7.04,6.95
Kota Sabang,14.66,14.59,14.58
Kota Langsa,10.62,10.53,10.33
Kota Lhokseumawe,10.84,10.73,10.44
Kota Subulussalam,16.94,16.41,16.38
SUMATERA UTARA,8.42,8.15,7.99
Nias,16,15.1,14.89
Mandailing Natal,8.92,8.86,8.69
Tapanuli Selatan,8.07,7.01,6.92
Tapanuli Tengah,11.71,11.5,11.8
Tapanuli Utara,8.93,8.54,8.21
Toba Samosir,8.89,8.04,8.07
Labuhan Batu,8.26,7.99,7.84
Asahan,8.64,8.21,8.12
Simalungun,8.26,7.87,7.72
Dairi,7.88,7.47,7.1
Karo,8.17,7.98,7.37
Deli Serdang,3.62,3.44,3.44
Langkat,9.49,9.23,9.04
Nias Selatan,16.48,16.39,16.32
Humbang Hasundutan,8.86,8.69,8.44
Pakpak Bharat,8.66,7.54,6.87
Samosir,11.77,11.66,11.63
Serdang Bedagai,7.82,7.44,6.97
Batu Bara,11.53,11.38,10.94
Padang Lawas Utara,8.94,8.79,8.97
Padang Lawas,8.05,7.89,7.87
Labuhan Batu Selatan,8.09,8.06,7.73
Labuhan Batu Utara,9.09,9.08,8.98
Nias Utara,23.4,21.79,21.5
Nias Barat,24.75,22.81,22.68
Kota Sibolga,11.47,11.42,11.39
Kota Tanjung Balai,12.45,12.21,11.97
Kota Pematang Siantar,7.88,7.24,7.2
Kota Tebing Tinggi,9.59,9.49,8.79
Kota Medan,8.07,8,7.94
Kota Binjai,5.1,4.79,4.75
Kota Padangsidimpuan,6.89,6.85,6.23
Kota Gunungsitoli,14.81,14.78,14.72
SUMATERA BARAT,5.92,5.95,5.97
Kepulauan Mentawai,13.97,13.72,13.89
Pesisir Selatan,7.11,7.34,7.49
Solok,7.12,7.13,7.31
Sijunjung,6,5.88,5.78
Tanah Datar,4.26,4.16,4.28
Padang Pariaman,6.25,6.34,6.27
Agam,6.22,6.6,6.83
Lima Puluh Kota,6.59,6.8,6.92
Pasaman,6.85,6.8,6.74
Solok Selatan,6.51,6.45,6.56
Dharmasraya,5.56,5.56,5.32
Pasaman Barat,6.93,6.92,7
Kota Padang,4.26,4.17,4.06
Kota Solok,3.02,3.05,3.07
Kota Sawah Lunto,2.28,2.27,2.33
Kota Padang Panjang,5.14,5.24,5.31
Kota Bukittinggi,4.46,4.11,4.08
Kota Payakumbuh,5.66,5.44,5.19
Kota Pariaman,4.13,4.2,4.26
RIAU,6.78,6.68,6.67
Kuantan Singingi,8.24,8.07,7.89
Indragiri Hulu,6.14,6.06,6.02
Indragiri Hilir,5.98,5.64,5.66
Pelalawan,8.97,8.15,8.49
Siak,5.07,5.23,5.08
Kampar,7.12,7.04,6.92
Rokan Hulu,9.95,9.72,9.62
Bengkalis,6.32,6.31,6.36
