Nama Wilayah,,,
,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,
,2004,2005,2006
ACEH,28.47,28.69,28.28
Simeulue,34.26,33.39,33.8
Aceh Singkil,28.85,28.61,28.41
Aceh Selatan,27.56,26.43,24.58
Aceh Tenggara,23.87,24.13,23.56
Aceh Timur,29.98,29.41,29.85
Aceh Tengah,27.93,27.11,26.68
Aceh Barat,35.65,34.78,34.54
Aceh Besar,29.89,28.81,28.66
Pidie,35.24,35.27,35.32
Bireuen,29.25,29.09,29.05
Aceh Utara,34.21,35.14,34.98
Aceh Barat Daya,27.98,27.71,28.3
Gayo Lues,32.38,33.28,33.51
Aceh Tamiang,25.23,24,23.89
Nagan Raya,35.54,35.44,35.25
Aceh Jaya,31.6,30.65,30.42
Bener Meriah,-,28.18,27.98
Pidie Jaya,-,-,-
Kota Banda Aceh,8.89,8.2,8.25
Kota Sabang,31.46,29.17,28.56
Kota Langsa,15.29,14.68,13.95
Kota Lhokseumawe,14.98,15.57,14.25
Kota Subulussalam,-,-,-
SUMATERA UTARA,14.93,14.68,15.01
Nias,31.58,30.8,31.53
Mandailing Natal,21.31,21.5,20.58
Tapanuli Selatan,22.08,20.41,21.05
Tapanuli Tengah,31.47,30.16,29.44
Tapanuli Utara,19.16,21.8,22.36
Toba Samosir,20.37,18.99,16.87
Labuhan Batu,14.16,12.98,14.65
Asahan,12.91,13.29,13.45
Simalungun,17.94,17.09,17.2
Dairi,21.16,19.54,17.91
Karo,20,17.68,16.71
Deli Serdang,7.91,6.3,6.7
Langkat,19.89,20.98,20.57
Nias Selatan,32.15,34.84,35.89
Humbang Hasundutan,20.11,20.42,18.36
Pakpak Bharat,22.62,25.18,26.97
Samosir,-,23.13,23.87
Serdang Bedagai,-,10.53,12.05
Batu Bara,-,-,-
Padang Lawas Utara,-,-,-
Padang Lawas,-,-,-
Labuhan Batu Selatan,-,-,-
Labuhan Batu Utara,-,-,-
Nias Utara,-,-,-
Nias Barat,-,-,-
Kota Sibolga,9.01,11,12.44
Kota Tanjung Balai,12.53,13.92,13.92
Kota Pematang Siantar,11.55,10.96,10.93
Kota Tebing Tinggi,10.1,10.85,11.17
Kota Medan,7.13,7.06,7.8
Kota Binjai,6.4,6.93,6.89
Kota Padangsidimpuan,13.65,11.35,13.18
Kota Gunungsitoli,-,-,-
SUMATERA BARAT,10.46,10.89,12.51
Kepulauan Mentawai,17.59,19.26,16.87
Pesisir Selatan,12.44,12.43,14.76
Solok,14.4,15.28,17.98
Sijunjung,13.54,13.94,15.96
