Nama Provinsi,Nama Kota,Tahun,Garis Kemiskinan,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Persentase Penduduk Miskin,Pengeluaran per Kapita
ACEH,Simeulue,2004,122606.0,7.74,2.33,34.26,
ACEH,Aceh Singkil,2004,138438.0,6.25,2.04,28.85,
ACEH,Aceh Selatan,2004,128779.0,4.94,1.36,27.56,
ACEH,Aceh Tenggara,2004,114925.0,7.94,2.99,23.87,
ACEH,Aceh Timur,2004,120719.0,6.05,1.97,29.98,
ACEH,Aceh Tengah,2004,142361.0,4.7,1.25,27.93,
ACEH,Aceh Barat,2004,125885.0,8.45,2.69,35.65,
ACEH,Aceh Besar,2004,139607.0,3.41,0.59,29.89,
ACEH,Pidie,2004,131852.0,6.28,1.41,35.24,
ACEH,Bireuen,2004,132510.0,5.29,1.37,29.25,
ACEH,Aceh Utara,2004,136900.0,10.36,4.13,34.21,
ACEH,Aceh Barat Daya,2004,135867.0,4.86,1.35,27.98,
ACEH,Gayo Lues,2004,147954.0,10.58,4.05,32.38,
ACEH,Aceh Tamiang,2004,130724.0,4.63,1.52,25.23,
ACEH,Nagan Raya,2004,144211.0,8.16,2.64,35.54,
ACEH,Aceh Jaya,2004,138509.0,7.5,2.43,31.6,
ACEH,Bener Meriah,2004,368238.8,3.68,0.92,22.86,
ACEH,Pidie Jaya,2004,412270.78,3.79,0.97,22.85,
ACEH,Kota Banda Aceh,2004,165391.0,1.52,0.31,8.89,
ACEH,Kota Sabang,2004,144866.0,6.77,2.06,31.46,
ACEH,Kota Langsa,2004,136093.0,2.79,0.92,15.29,
ACEH,Kota Lhokseumawe,2004,146927.0,4.45,1.8,14.98,
ACEH,Kota Subulussalam,2004,300475.78,3.37,0.85,21.02,
SUMATERA UTARA,Nias,2004,108535.0,5.67,1.54,31.58,
SUMATERA UTARA,Mandailing Natal,2004,132958.0,4.09,0.75,21.31,
SUMATERA UTARA,Tapanuli Selatan,2004,132536.0,4.53,0.54,22.08,
SUMATERA UTARA,Tapanuli Tengah,2004,118788.0,6.36,1.9,31.47,
SUMATERA UTARA,Tapanuli Utara,2004,128192.0,3.01,0.72,19.16,
SUMATERA UTARA,Toba Samosir,2004,143766.0,3.27,0.8,20.37,
SUMATERA UTARA,Labuhan Batu,2004,142577.0,1.77,0.35,14.16,
SUMATERA UTARA,Asahan,2004,136855.0,1.58,0.35,12.91,
SUMATERA UTARA,Simalungun,2004,116755.0,2.4,0.51,17.94,
SUMATERA UTARA,Dairi,2004,123488.0,3.98,1.24,21.16,
SUMATERA UTARA,Karo,2004,156389.0,4.55,1.45,20.0,
SUMATERA UTARA,Deli Serdang,2004,121357.0,0.99,0.2,7.91,
SUMATERA UTARA,Langkat,2004,142459.0,3.03,0.78,19.89,
SUMATERA UTARA,Nias Selatan,2004,213289.0,5.78,1.59,32.15,
