Area Code (M49),Area,Year,avg_income_small,avg_income_large,small_scale_productivity,large_scale_productivity,undernourished_people,food_insecurity_people,local_breed,agriculture_gdp,agriculture_government,agriculture_orientation_government,ifpa_food_cpi
4,Afghanistan,2000,,,,,,,,,,,
4,Afghanistan,2001,,,,,9.2,,,54.06,,,
4,Afghanistan,2002,,,,,9.2,,,45.13,,,
4,Afghanistan,2003,,,,,8.6,,,41.9,5.33,0.13,
4,Afghanistan,2004,,,,,8.5,,,35.61,14.51,0.41,
4,Afghanistan,2005,,,,,8.4,,,35.15,4.68,0.13,
4,Afghanistan,2006,,,,,8,,37.0,34.39,4.69,0.14,
4,Afghanistan,2007,,,,,7.3,,37.0,35.27,7.45,0.21,
4,Afghanistan,2008,,,,,6.7,,37.0,30.9,2.97,0.1,
4,Afghanistan,2009,,,,,5.9,,37.0,32.79,4.26,0.13,
4,Afghanistan,2010,,,,,5.5,,37.0,30.91,4.68,0.15,-0.12
4,Afghanistan,2011,,,,,5.4,,37.0,29.83,4.26,0.14,-0.17
4,Afghanistan,2012,,,,,5.9,,37.0,28.56,4.3,0.15,-0.28
4,Afghanistan,2013,,,,,6.1,,37.0,27.88,1.81,0.06,0.3
4,Afghanistan,2014,,,,,6.3,,37.0,27.48,1.73,0.06,0.42
4,Afghanistan,2015,,,,,6.7,8233.5,37.0,25.53,4.11,0.16,-0.07
4,Afghanistan,2016,,,,,7.1,9388.7,37.0,25.74,3.35,0.13,0.25
4,Afghanistan,2017,,,,,7.6,10623.6,37.0,26.42,3.17,0.12,0.22
4,Afghanistan,2018,,,,,8.3,11682.5,37.0,22.04,2.69,0.12,-0.48
4,Afghanistan,2019,,,,,9.5,13314.2,37.0,25.77,2.08,0.08,0.32
4,Afghanistan,2020,,,,,10.8,15336.099999999999,37.0,26.82,2.63,0.1,0.63
4,Afghanistan,2021,,,,,11.8,17935.8,37.0,33.48,0.76,0.02,0.32
4,Afghanistan,2022,,,,,12.5,18934.6,37.0,33.38,2.79,0.08,0.67
4,Afghanistan,2023,,,,,,,37.0,,,,-1.31
4,Afghanistan,2024,,,,,,,37.0,,,,
8,Albania,2000,,,,,,,31.0,,,,
8,Albania,2001,,,,,0.2,,31.0,22.72,2.93,0.13,
8,Albania,2002,,,,,0.2,,35.0,22.03,3.72,0.17,
8,Albania,2003,,,,,0.2,,35.0,21.98,2.46,0.11,
8,Albania,2004,,,,,0.3,,35.0,20.54,2.12,0.1,
8,Albania,2005,3512.36,9934.47,,,0.3,,35.0,18.85,2.14,0.11,
8,Albania,2006,,,,,0.3,,43.0,17.71,2.16,0.12,
8,Albania,2007,,,,,0.2,,43.0,17.15,2.16,0.13,
8,Albania,2008,,,,,0.2,,43.0,16.84,1.65,0.1,
8,Albania,2009,,,,,0.2,,43.0,16.79,1.65,0.1,
8,Albania,2010,,,,,0.2,,43.0,17.96,1.69,0.09,-0.23
8,Albania,2011,,,,,0.1,,43.0,18.23,1.66,0.09,-0.72
8,Albania,2012,,,,,0.1,,43.0,18.77,1.57,0.08,-0.94
8,Albania,2013,,,,,0.1,,43.0,19.57,1.74,0.09,0.53
8,Albania,2014,,,,,0.1,,43.0,19.99,1.74,0.09,-0.63
8,Albania,2015,,,,,0.1,913.4,43.0,19.78,1.95,0.1,0.99
8,Albania,2016,,,,,0.1,924.0,43.0,19.85,2.95,0.15,0.29
8,Albania,2017,,,,,0.1,918.2,43.0,19.02,2.21,0.12,0.27
8,Albania,2018,,,,,0.1,885.7,43.0,18.43,2.2,0.12,-0.72
8,Albania,2019,,,,,0.1,807.0999999999999,43.0,18.39,2.04,0.11,0.03
8,Albania,2020,,,,,0.1,740.8,43.0,19.26,2.08,0.11,0.39
8,Albania,2021,,,,,0.1,721.9,43.0,17.68,2.76,0.16,0.22
8,Albania,2022,,,,,0.1,768.0,43.0,17.94,2.54,0.14,2.63
8,Albania,2023,,,,,,,43.0,,,,1.18
8,Albania,2024,,,,,,,43.0,,,,
12,Algeria,2000,,,,,,,5.0,,,,
12,Algeria,2001,,,,,2.3,,5.0,9.79,3.89,0.4,
12,Algeria,2002,,,,,2.2,,5.0,9.31,3.75,0.4,
12,Algeria,2003,,,,,2.1,,5.0,9.81,3.77,0.38,
12,Algeria,2004,,,,,2.1,,5.0,9.44,3.68,0.39,
12,Algeria,2005,,,,,2,,5.0,7.69,4.0,0.52,
12,Algeria,2006,,,,,2,,18.0,7.54,4.24,0.56,
12,Algeria,2007,,,,,1.9,,18.0,7.57,2.19,0.29,
12,Algeria,2008,,,,,1.8,,18.0,6.59,5.2,0.79,
12,Algeria,2009,,,,,1.7,,18.0,9.34,3.65,0.39,
12,Algeria,2010,,,,,1.5,,18.0,8.47,2.0,0.24,-1.2
12,Algeria,2011,,,,,1.3,,18.0,8.11,3.36,0.41,-1.32
12,Algeria,2012,,,,,1.2,,18.0,8.77,3.02,0.34,0.93
12,Algeria,2013,,,,,1.1,,18.0,9.85,3.4,0.35,-0.64
12,Algeria,2014,,,,,1,,18.0,10.29,3.04,0.3,0.05
12,Algeria,2015,,,,,1,6416.3,18.0,11.58,3.47,0.3,-0.69
12,Algeria,2016,,,,,1,6120.0,18.0,12.22,3.02,0.25,-1.58
12,Algeria,2017,,,,,1,5694.3,18.0,11.76,3.16,0.27,-0.25
12,Algeria,2018,,,,,,5138.2,18.0,11.87,2.93,0.25,-0.29
12,Algeria,2019,,,,,,5230.2,18.0,12.34,2.75,0.22,-0.99
12,Algeria,2020,,,,,,5726.0,20.0,13.78,2.89,0.21,-0.54
12,Algeria,2021,,,,,,5941.1,22.0,12.18,2.78,0.23,1.25
12,Algeria,2022,,,,,,5897.9,22.0,11.38,4.0,0.35,1.24
12,Algeria,2023,,,,,,,22.0,,,,0.88
12,Algeria,2024,,,,,,,22.0,,,,
20,Andorra,2010,,,,,,,,,,,-1.15
20,Andorra,2011,,,,,,,,,,,-1.69
20,Andorra,2012,,,,,,,,,,,0.97
20,Andorra,2013,,,,,,,,,,,1.66
20,Andorra,2014,,,,,,,,,,,1.55
20,Andorra,2015,,,,,,,,,,,1.6
20,Andorra,2016,,,,,,,,,,,0.07
20,Andorra,2017,,,,,,,,,,,-0.21
20,Andorra,2018,,,,,,,,,,,0.09
20,Andorra,2019,,,,,,,,,,,-0.17
20,Andorra,2020,,,,,,,,,,,0.92
20,Andorra,2021,,,,,,,,,,,-0.74
20,Andorra,2022,,,,,,,,,,,1.5
20,Andorra,2023,,,,,,,,,,,2.68
24,Angola,2000,,,,,,,4.0,,,,
24,Angola,2001,,,,,11.4,,4.0,8.16,1.23,0.15,
24,Angola,2002,,,,,11.1,,4.0,5.84,0.52,0.09,
24,Angola,2003,,,,,10.6,,4.0,6.2,0.64,0.1,
24,Angola,2004,,,,,10.3,,4.0,6.25,1.32,0.21,
24,Angola,2005,,,,,10.2,,4.0,5.06,1.73,0.34,
24,Angola,2006,,,,,10,,18.0,5.19,1.69,0.32,
24,Angola,2007,,,,,9.7,,18.0,5.24,2.84,0.54,
24,Angola,2008,,,,,9.4,,18.0,4.81,2.12,0.44,
24,Angola,2009,,,,,7.3,,18.0,6.62,0.89,0.13,
24,Angola,2010,,,,,5.3,,18.0,6.18,1.08,0.18,-1.57
24,Angola,2011,,,,,3.6,,18.0,5.85,1.12,0.19,-1.15
24,Angola,2012,,,,,3.5,,18.0,6.07,0.93,0.15,-0.26
