Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2001","2001","%",""
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2002","2002","%",""
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2003","2003","%","5.33"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2004","2004","%","14.51"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2005","2005","%","4.68"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2006","2006","%","4.69"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2007","2007","%","7.45"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2008","2008","%","2.97"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2009","2009","%","4.26"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2010","2010","%","4.68"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2011","2011","%","4.26"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2012","2012","%","4.3"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2013","2013","%","1.81"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2014","2014","%","1.73"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2015","2015","%","4.11"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2016","2016","%","3.35"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2017","2017","%","3.17"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2018","2018","%","2.69"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2019","2019","%","2.08"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2020","2020","%","2.63"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2021","2021","%","0.76"
"SDGB","SDG Indicators","004","Afghanistan","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2022","2022","%","2.79"
"SDGB","SDG Indicators","008","Albania","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2001","2001","%","2.93"
"SDGB","SDG Indicators","008","Albania","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2002","2002","%","3.72"
"SDGB","SDG Indicators","008","Albania","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2003","2003","%","2.46"
"SDGB","SDG Indicators","008","Albania","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2004","2004","%","2.12"
"SDGB","SDG Indicators","008","Albania","6121","Value","AG_XPD_AGSGB","2.a.1 Agriculture share of Government Expenditure","2005","2005","%","2.14"
