Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2001","2001","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2005","2005","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2006","2006","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2008","2008","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2009","2009","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2010","2010","USD_PPP/cap","351.06"
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2011","2011","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2012","2012","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2013","2013","USD_PPP/cap","330.31"
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2014","2014","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2015","2015","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2016","2016","USD_PPP/cap","360.47"
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2017","2017","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2018","2018","USD_PPP/cap",""
"SDGB","SDG Indicators","040","Austria","6174","Value (2017 constant prices)","PD_AGR_LSFP-F","2.3.1 Productivity of large-scale food producers (female) (2017 base period)","2019","2019","USD_PPP/cap",""
