Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2001","2001","million No","9.2"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2002","2002","million No","9.2"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2003","2003","million No","8.6"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2004","2004","million No","8.5"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2005","2005","million No","8.4"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2006","2006","million No","8"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2007","2007","million No","7.3"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2008","2008","million No","6.7"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2009","2009","million No","5.9"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2010","2010","million No","5.5"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2011","2011","million No","5.4"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2012","2012","million No","5.9"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2013","2013","million No","6.1"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2014","2014","million No","6.3"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2015","2015","million No","6.7"
"SDGB","SDG Indicators","004","Afghanistan","6132","Value","SN_ITK_DEFCN","2.1.1 Number of undernourished people","2016","2016","million No","7.1"
